"Année";"Grande région";"Division économique";"Position professionnelle";"Sexe";"Médiane";"P10";"P25";"P75";"P90"
"2022";"Suisse";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Position professionnelle - total";"Sexe - total";7365;4824;5779;9571;12464
"2022";"Suisse";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Position professionnelle - total";"Femmes";6043;4286;4965;7824;10251
"2022";"Suisse";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Position professionnelle - total";"Hommes";8073;5458;6500;10295;13362
"2022";"Suisse";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre supérieur et moyen";"Sexe - total";12787;8017;9838;17098;24351
"2022";"Suisse";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre supérieur et moyen";"Femmes";11911;6500;8720;16232;22738
"2022";"Suisse";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre supérieur et moyen";"Hommes";12951;8336;10071;17294;24861
"2022";"Suisse";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre inférieur";"Sexe - total";9894;7157;8265;11873;14018
"2022";"Suisse";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre inférieur";"Femmes";9563;6500;7908;11441;13507
"2022";"Suisse";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre inférieur";"Hommes";10001;7282;8385;11951;14176
"2022";"Suisse";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Responsable de l'exécution des travaux";"Sexe - total";8294;5838;6794;10261;11765
"2022";"Suisse";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Responsable de l'exécution des travaux";"Femmes";7481;4801;6156;9864;11466
"2022";"Suisse";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Responsable de l'exécution des travaux";"Hommes";8571;5994;7014;10400;11821
"2022";"Suisse";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Sans fonction de cadre";"Sexe - total";6697;4658;5427;8338;10254
"2022";"Suisse";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Sans fonction de cadre";"Femmes";5706;4230;4851;7137;8688
"2022";"Suisse";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Sans fonction de cadre";"Hommes";7336;5223;6093;8995;11024
"2022";"Suisse";"> 62 Activité informatiques";"Position professionnelle - total";"Sexe - total";9412;5729;7250;11824;15609
"2022";"Suisse";"> 62 Activité informatiques";"Position professionnelle - total";"Femmes";8008;5155;6372;10302;13221
"2022";"Suisse";"> 62 Activité informatiques";"Position professionnelle - total";"Hommes";9751;6016;7571;12188;16034
"2022";"Suisse";"> 62 Activité informatiques";"Cadre supérieur et moyen";"Sexe - total";12211;7295;9500;15830;21368
"2022";"Suisse";"> 62 Activité informatiques";"Cadre supérieur et moyen";"Femmes";10470;6260;8320;13668;18958
"2022";"Suisse";"> 62 Activité informatiques";"Cadre supérieur et moyen";"Hommes";12500;7521;9738;16024;21745
"2022";"Suisse";"> 62 Activité informatiques";"Cadre inférieur";"Sexe - total";10714;6894;8750;12857;15931
"2022";"Suisse";"> 62 Activité informatiques";"Cadre inférieur";"Femmes";9823;5714;7619;11980;14404
"2022";"Suisse";"> 62 Activité informatiques";"Cadre inférieur";"Hommes";10952;7170;9035;13080;16297
"2022";"Suisse";"> 62 Activité informatiques";"Responsable de l'exécution des travaux";"Sexe - total";9718;6167;7668;11448;13459
"2022";"Suisse";"> 62 Activité informatiques";"Responsable de l'exécution des travaux";"Femmes";8333;5459;6650;10318;12267
"2022";"Suisse";"> 62 Activité informatiques";"Responsable de l'exécution des travaux";"Hommes";10000;6349;8084;11703;13625
"2022";"Suisse";"> 62 Activité informatiques";"Sans fonction de cadre";"Sexe - total";8514;5460;6767;10532;13185
"2022";"Suisse";"> 62 Activité informatiques";"Sans fonction de cadre";"Femmes";7521;5025;6067;9450;11656
"2022";"Suisse";"> 62 Activité informatiques";"Sans fonction de cadre";"Hommes";8854;5649;7042;10815;13504
"2022";"Suisse";"> 63 Services d'information";"Position professionnelle - total";"Sexe - total";11516;5232;7238;16531;22184
"2022";"Suisse";"> 63 Services d'information";"Position professionnelle - total";"Femmes";8027;4430;5880;13599;19118
"2022";"Suisse";"> 63 Services d'information";"Position professionnelle - total";"Hommes";12897;5714;8329;17697;22898
"2022";"Suisse";"> 63 Services d'information";"Cadre supérieur et moyen";"Sexe - total";17038;9105;14745;21755;26367
"2022";"Suisse";"> 63 Services d'information";"Cadre supérieur et moyen";"Femmes";16886;8832;13953;22374;27896
"2022";"Suisse";"> 63 Services d'information";"Cadre supérieur et moyen";"Hommes";17039;9393;15073;21592;26140
"2022";"Suisse";"> 63 Services d'information";"Cadre inférieur";"Sexe - total";13148;8659;11941;15154;18942
"2022";"Suisse";"> 63 Services d'information";"Cadre inférieur";"Femmes";12869;8333;10690;16054;18320
"2022";"Suisse";"> 63 Services d'information";"Cadre inférieur";"Hommes";13228;8863;12227;15028;19178
"2022";"Suisse";"> 63 Services d'information";"Responsable de l'exécution des travaux";"Sexe - total";10920;5835;8311;13343;14673
"2022";"Suisse";"> 63 Services d'information";"Responsable de l'exécution des travaux";"Femmes";11344;6276;8223;14026;15053
"2022";"Suisse";"> 63 Services d'information";"Responsable de l'exécution des travaux";"Hommes";10833;4400;8311;12569;13953
"2022";"Suisse";"> 63 Services d'information";"Sans fonction de cadre";"Sexe - total";6995;4149;5411;8836;10289
"2022";"Suisse";"> 63 Services d'information";"Sans fonction de cadre";"Femmes";6321;3847;4976;7659;9037
"2022";"Suisse";"> 63 Services d'information";"Sans fonction de cadre";"Hommes";7641;4500;5713;9559;10737
"2022";"Région lémanique";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Position professionnelle - total";"Sexe - total";7750;5278;6292;9818;13087
"2022";"Région lémanique";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Position professionnelle - total";"Femmes";6890;4810;5580;8609;11250
"2022";"Région lémanique";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Position professionnelle - total";"Hommes";8290;5761;6799;10428;13839
"2022";"Région lémanique";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre supérieur et moyen";"Sexe - total";17475;9872;12500;25302;36232
"2022";"Région lémanique";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre supérieur et moyen";"Femmes";16632;10026;13094;22637;31876
"2022";"Région lémanique";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre supérieur et moyen";"Hommes";17674;9872;12390;26297;37372
"2022";"Région lémanique";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre inférieur";"Sexe - total";11153;7783;9189;13492;15388
"2022";"Région lémanique";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre inférieur";"Femmes";10885;7466;9112;13040;14662
"2022";"Région lémanique";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre inférieur";"Hommes";11292;7879;9200;13747;15581
"2022";"Région lémanique";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Responsable de l'exécution des travaux";"Sexe - total";10149;6419;7834;11477;12835
"2022";"Région lémanique";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Responsable de l'exécution des travaux";"Femmes";9854;5904;7248;11322;12901
